Seed	Start_X	Start_Z	Portal_X	Portal_Z	Distance
4735791475005531220	-81	85	-1344	1376	1923
2262959654973493607	-9	-109	-96	-1744	1899
8988804223476634598	-142	94	-2304	1456	2369
4323075009521838313	-99	31	-1600	464	1666
98698559049329144	-46	74	-704	1200	1391
-6435743025288371226	15	103	208	1648	1774
2692208994462722786	94	35	1504	608	1631
8590798606412043510	53	136	848	2208	2405
-5702219235977399598	123	3	1984	64	2003
-5491113003444127223	150	-29	2432	-496	2614
-1916943749171645470	-42	123	-704	1936	2261
-5843519674281200457	-104	-60	-1648	-928	1750
-6367907555892732252	40	-100	608	-1648	1757
5948311525061579851	-116	74	-1856	1136	2255
-4302444176785999591	124	-17	2032	-272	2050
-4277674378834939603	163	-46	2576	-752	2684
-2519018724346277362	-123	-87	-2016	-1392	2611
1809221992533666938	-27	-81	-400	-1296	1180
5717220569185155232	-2	165	-32	2688	2688
5823618110382820085	31	-159	512	-2512	2564
-828761489196680686	46	84	752	1296	1498
-1545115304923963252	54	147	848	2320	2386
-2671859636695573252	128	102	2048	1568	2605
8332967527760992675	-116	-59	-1872	-960	2086
9219895179377847780	-124	20	-2000	352	2031
-327736030647489842	166	8	2656	112	2641
-2711547608409104848	-129	50	-2016	784	2096
-8434778309866240407	-87	-21	-1360	-336	1409
-7871828356444639940	102	-122	1632	-1920	2516
-2978948836282757534	-68	-61	-1104	-1008	1531
-7525051185134281287	54	109	896	1728	1946
-3312778158657826120	40	-91	688	-1472	1735
8224881136712569093	34	147	576	2384	2470
-1498390458779638827	120	-68	1920	-1152	2229
2766799863317435608	-109	-71	-1760	-1088	1918
3199145427545915406	-144	1	-2272	0	2272
-4773633287782803782	65	114	976	1856	2111
399313834206456094	104	-82	1648	-1280	2249
-1752562362746353238	-131	18	-2112	272	2129
323315590496582796	-122	-113	-2000	-1792	2697
4839581591819938229	-122	36	-1968	624	2014
2625780899992203359	120	-10	1872	-176	2131
4132516450324852985	-92	105	-1456	1712	2247
1093994076733815523	-16	-105	-288	-1648	1673
-1046060171194496366	146	45	2368	736	2654
1403898026095956727	58	-82	944	-1248	1565
-5304776568825408994	-44	-84	-688	-1360	1524
-3736116523616313042	26	123	448	1984	2034
-3849269464253573028	-89	-30	-1488	-480	1863
-942195904784055977	-20	-148	-336	-2336	2360
-3883609411410407789	4	-93	32	-1472	1474
-8492762155047372206	-1	-144	16	-2336	2352
-1554685454105735714	93	-41	1472	-704	1303
1302567034484189693	-157	-37	-2496	-544	2588
6181091330833379238	-76	134	-1248	2144	2485
-7689151096537164018	-116	84	-1824	1328	2256
-2329023115035930129	-134	23	-2176	336	2184
1292433935324256374	12	97	176	1600	1478
-2700288609314171272	33	-131	576	-2096	2193
9063676567331733658	117	-56	1872	-944	2097
-2252461921365747070	53	-101	896	-1616	1848
-4907052426722044670	148	-47	2320	-736	2760
-3896838735307021516	-92	-65	-1472	-992	1968
8313827229381701175	130	65	2160	1024	2390
9219895179414028708	124	-24	2016	-416	2058
-4885378853510164399	42	-94	672	-1472	1618
7922858486732309378	156	-11	2528	-176	2489
1853695038898347396	94	-98	1520	-1616	2219
-5334331441360158014	41	111	608	1792	1892
-5261710897367088650	-128	65	-2032	1072	2086
-3001748309356253500	-132	-3	-2128	-16	2128
6829328202217276056	-18	136	-272	2160	2177
-8825184102522289595	132	74	2128	1136	2441
5858802482520328735	-66	95	-1120	1552	1864
-4915778150986674257	47	-157	704	-2528	2939
